ply number,player type,move,score
1,MAX,d4,
2,MIN,e3,0
3,MAX,d2,-1
4,MIN,e1,-1
5,MAX,d1,-2
6,MIN,e2,-1
7,MAX,f1,-3
8,MIN,g1,-2
9,MAX,g2,-4
10,MIN,f2,-3
11,MAX,f3,-5
12,MIN,g4,-3
13,MAX,g3,-5
14,MIN,f4,-3
15,MAX,g5,-5
16,MIN,g6,-1
17,MAX,f5,-2
18,MIN,f6,1
19,MAX,e6,0
20,MIN,d7,2
21,MAX,c6,1
22,MIN,c7,2
23,MAX,b6,1
24,MIN,a7,3
25,MAX,b7,2
26,MIN,a6,5
27,MAX,b5,4
28,MIN,a5,6
29,MAX,b4,4
30,MIN,c5,7
31,MAX,c4,7
32,MIN,d5,899
33,MAX,e4,898
34,MIN,d3,995
35,MAX,c3,996
36,MIN,b3,997
37,MAX,a2,998
38,MIN,a3,999
