ply number,player type,move,score
1,MAX,f4,
2,MIN,g5,1
3,MAX,g4,0
4,MIN,g3,2
5,MAX,f3,1
6,MIN,g2,2
7,MAX,f1,1
8,MIN,g1,2
9,MAX,f2,1
10,MIN,e2,3
11,MAX,e1,1
12,MIN,d1,3
13,MAX,c1,1
14,MIN,d2,3
15,MAX,e3,1
16,MIN,d4,3
17,MAX,c3,0
18,MIN,c4,1
19,MAX,b3,-1
20,MIN,b4,0
21,MAX,a3,-2
22,MIN,a4,-2
23,MAX,a5,-3
24,MIN,a6,-2
25,MAX,a7,-4
26,MIN,b6,-3
27,MAX,b5,-5
28,MIN,c5,-4
29,MAX,d5,-6
30,MIN,e6,-200
31,MAX,d6,-995
32,MIN,e7,-996
33,MAX,d7,-997
34,MIN,c7,-998
35,MAX,b7,-999
