ply number,player type,move,score
1,MAX,d4,
2,MIN,d5,-1
3,MAX,c4,2
4,MIN,c5,0
5,MAX,b4,3
6,MIN,b5,1
7,MAX,a4,4
8,MIN,a5,-4
9,MAX,b6,-4
10,MIN,a7,-4
11,MAX,a6,-4
12,MIN,b7,-4
13,MAX,c6,-4
14,MIN,d7,-4
15,MAX,e6,-4
16,MIN,f7,-6
17,MAX,e7,-5
18,MIN,f6,-5
19,MAX,f5,-3
20,MIN,g6,-6
21,MAX,g5,894
22,MIN,g4,894
23,MAX,f4,895
24,MIN,g3,894
25,MAX,f2,895
26,MIN,g1,894
27,MAX,f1,895
28,MIN,g2,894
29,MAX,f3,895
30,MIN,e4,896
31,MAX,d3,897
32,MIN,e3,896
33,MAX,d2,897
34,MIN,e1,896
35,MAX,d1,897
