ply number,player type,move,score
1,MAX,f5,
2,MIN,g6,-6
3,MAX,g5,-4
4,MIN,f6,-5
5,MAX,e6,-3
6,MIN,f7,-6
7,MAX,e7,894
8,MIN,d7,894
9,MAX,c6,895
10,MIN,b7,894
11,MAX,a6,895
12,MIN,a7,894
13,MAX,b6,895
14,MIN,c7,894
15,MAX,d6,895
16,MIN,c5,896
17,MAX,b4,897
18,MIN,a5,896
19,MAX,a4,897
20,MIN,b5,896
21,MAX,c4,897
22,MIN,d5,896
23,MAX,d4,897
24,MIN,e4,896
25,MAX,d3,897
26,MIN,e3,896
27,MAX,d2,897
28,MIN,e1,896
29,MAX,d1,897
30,MIN,e2,0
31,MAX,f3,-200
32,MIN,g2,0
33,MAX,g3,-200
34,MIN,g4,0
