ply number,player type,move,score
1,MAX,d5,
2,MIN,e6,2
3,MAX,d7,1
4,MIN,e7,3
5,MAX,d6,2
6,MIN,c7,3
7,MAX,c6,2
8,MIN,b7,4
9,MAX,a6,2
10,MIN,a7,4
11,MAX,b6,2
12,MIN,a5,4
13,MAX,a4,1
14,MIN,b3,3
15,MAX,a3,1
16,MIN,b4,4
17,MAX,b5,0
18,MIN,c5,1
19,MAX,c4,-1
20,MIN,c3,0
21,MAX,d4,-1
22,MIN,d3,0
23,MAX,c2,-2
24,MIN,d2,-1
25,MAX,e1,-4
26,MIN,f2,-3
27,MAX,f1,-5
28,MIN,g1,-3
29,MAX,g2,-898
30,MIN,f3,-898
31,MAX,e2,-993
32,MIN,e3,-994
33,MAX,e4,-995
34,MIN,f5,-996
35,MAX,g4,-997
36,MIN,g5,-998
37,MAX,f4,-999
