ply number,player type,move,score
1,MAX,f4,
2,MIN,g5,2
3,MAX,g4,1
4,MIN,g3,2
5,MAX,f3,1
6,MIN,f2,3
7,MAX,g2,1
8,MIN,g1,3
9,MAX,f1,1
10,MIN,e2,3
11,MAX,e1,1
12,MIN,d2,3
13,MAX,d1,0
14,MIN,c1,2
15,MAX,b2,-1
16,MIN,c3,0
17,MAX,b3,-2
18,MIN,a4,-1
19,MAX,a3,-3
20,MIN,b4,-2
21,MAX,a5,-3
22,MIN,a6,-2
23,MAX,a7,-4
24,MIN,b7,-2
25,MAX,c7,-4
26,MIN,d6,-4
27,MAX,c5,-6
28,MIN,b6,-5
29,MAX,b5,-993
30,MIN,c6,-994
31,MAX,d5,-995
32,MIN,e6,-996
33,MAX,f5,-997
34,MIN,f6,-998
35,MAX,e7,-999
