ply number,player type,move,score
1,MAX,f5,
2,MIN,g6,1
3,MAX,g5,0
4,MIN,f6,2
5,MAX,e6,1
6,MIN,d7,3
7,MAX,c7,2
8,MIN,c6,5
9,MAX,c5,4
10,MIN,b6,6
11,MAX,b7,4
12,MIN,a7,6
13,MAX,a6,4
14,MIN,b5,6
15,MAX,a4,3
16,MIN,a5,5
17,MAX,b4,3
18,MIN,c3,6
19,MAX,d4,4
20,MIN,e4,5
21,MAX,d3,5
22,MIN,e2,5
23,MAX,f1,5
24,MIN,g1,6
25,MAX,g2,5
26,MIN,f3,6
27,MAX,g4,5
28,MIN,g3,7
29,MAX,f2,6
30,MIN,e1,993
31,MAX,d1,994
32,MIN,c2,995
33,MAX,b1,996
34,MIN,c1,997
35,MAX,d2,998
36,MIN,e3,999
