ply number,player type,move,score
1,MAX,f5,
2,MIN,g6,0
3,MAX,g5,2
4,MIN,f6,1
5,MAX,e6,3
6,MIN,d7,2
7,MAX,c7,5
8,MIN,b7,3
9,MAX,a6,5
10,MIN,a7,2
11,MAX,b6,6
12,MIN,c6,3
13,MAX,c5,6
14,MIN,b5,3
15,MAX,a4,5
16,MIN,a5,3
17,MAX,b4,6
18,MIN,a3,3
19,MAX,a2,5
20,MIN,b3,2
21,MAX,c2,3
22,MIN,d1,1
23,MAX,e1,3
24,MIN,f2,1
25,MAX,e3,4
26,MIN,e2,2
27,MAX,d2,200
28,MIN,d3,0
29,MAX,d4,992
30,MIN,e4,993
31,MAX,f4,994
32,MIN,g4,995
33,MAX,g3,996
34,MIN,f3,997
35,MAX,g2,998
36,MIN,g1,999
